Id,X,Y
1,464,463
2,139,565
3,187,77
4,743,336
5,570,275
6,214,664
7,507,91
8,476,418
9,51,656
10,376,355
11,637,55
12,659,301
13,181,578
14,403,689
15,531,425
16,553,139
17,680,668
18,605,96
19,347,472
20,314,674
21,93,357
22,68,501
23,250,281
24,246,730
25,710,174
26,228,176
27,90,77
28,346,212
29,399,122
30,617,36
31,339,347
32,239,136
33,279,725
34,29,475
35,465,473
36,309,157
37,32,624
38,391,300
39,277,77
40,38,525
41,236,300
42,108,609
43,380,234
44,408,0
45,316,115
46,206,511
47,633,609
48,223,93
49,657,70
50,319,221
